row_id,experiment,section,primitive_kind,primitive_name,logical_operation,shape,chunk_shape,elements_per_invocation,invocations,latency_per_invocation,compute_latency,memory_latency,estimated_latency,fallback_from,notes
1,all_primitives,fd.potential.radius.newton_0,vector,4x_fp32_vector_div,div,"(200,)","(4,)",4,50,8.0,400.0,75.0,400.0,,elementwise
2,all_primitives,fd.potential.radius.newton_0,vector,4x_fp32_vector_sub,sub,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
3,all_primitives,fd.potential.radius.newton_0,vector,4x_fp32_vector_log,log,"(200,)","(4,)",4,50,1.0,50.0,50.0,50.0,,unary
4,all_primitives,fd.potential.radius.newton_0,vector,4x_fp32_vector_multiply,multiply,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
5,all_primitives,fd.potential.radius.newton_0,vector,4x_fp32_vector_add,add,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
6,all_primitives,fd.potential.radius.newton_0,vector,4x_fp32_vector_sub,sub,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
7,all_primitives,fd.potential.radius.newton_0,vector,4x_fp32_vector_div,div,"(200,)","(4,)",4,50,8.0,400.0,75.0,400.0,,elementwise
8,all_primitives,fd.potential.radius.newton_0,vector,4x_fp32_vector_sub,sub,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
9,all_primitives,fd.potential.radius.newton_0,vector,4x_fp32_vector_multiply,multiply,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
10,all_primitives,fd.potential.radius.newton_0,vector,4x_fp32_vector_sub,sub,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
11,all_primitives,fd.potential.radius.newton_1,vector,4x_fp32_vector_div,div,"(200,)","(4,)",4,50,8.0,400.0,75.0,400.0,,elementwise
12,all_primitives,fd.potential.radius.newton_1,vector,4x_fp32_vector_sub,sub,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
13,all_primitives,fd.potential.radius.newton_1,vector,4x_fp32_vector_log,log,"(200,)","(4,)",4,50,1.0,50.0,50.0,50.0,,unary
14,all_primitives,fd.potential.radius.newton_1,vector,4x_fp32_vector_multiply,multiply,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
15,all_primitives,fd.potential.radius.newton_1,vector,4x_fp32_vector_add,add,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
16,all_primitives,fd.potential.radius.newton_1,vector,4x_fp32_vector_sub,sub,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
17,all_primitives,fd.potential.radius.newton_1,vector,4x_fp32_vector_div,div,"(200,)","(4,)",4,50,8.0,400.0,75.0,400.0,,elementwise
18,all_primitives,fd.potential.radius.newton_1,vector,4x_fp32_vector_sub,sub,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
