row_id,experiment,section,primitive_kind,primitive_name,logical_operation,shape,chunk_shape,elements_per_invocation,invocations,latency_per_invocation,compute_latency,memory_latency,estimated_latency,fallback_from,notes
1,scalar_only,fd.potential.radius.newton_0,scalar,fp32_scalar_div,div,"(200,)","(1,)",1,200,1.0,200.0,75.0,200.0,vector,elementwise
2,scalar_only,fd.potential.radius.newton_0,scalar,fp32_scalar_sub,sub,"(200,)","(1,)",1,200,1.0,200.0,75.0,200.0,vector,elementwise
3,scalar_only,fd.potential.radius.newton_0,scalar,fp32_scalar_log,log,"(200,)","(1,)",1,200,1.0,200.0,50.0,200.0,vector,unary
4,scalar_only,fd.potential.radius.newton_0,scalar,fp32_scalar_multiply,multiply,"(200,)","(1,)",1,200,1.0,200.0,75.0,200.0,vector,elementwise
5,scalar_only,fd.potential.radius.newton_0,scalar,fp32_scalar_add,add,"(200,)","(1,)",1,200,1.0,200.0,75.0,200.0,vector,elementwise
6,scalar_only,fd.potential.radius.newton_0,scalar,fp32_scalar_sub,sub,"(200,)","(1,)",1,200,1.0,200.0,75.0,200.0,vector,elementwise
7,scalar_only,fd.potential.radius.newton_0,scalar,fp32_scalar_div,div,"(200,)","(1,)",1,200,1.0,200.0,75.0,200.0,vector,elementwise
8,scalar_only,fd.potential.radius.newton_0,scalar,fp32_scalar_sub,sub,"(200,)","(1,)",1,200,1.0,200.0,75.0,200.0,vector,elementwise
9,scalar_only,fd.potential.radius.newton_0,scalar,fp32_scalar_multiply,multiply,"(200,)","(1,)",1,200,1.0,200.0,75.0,200.0,vector,elementwise
10,scalar_only,fd.potential.radius.newton_0,scalar,fp32_scalar_sub,sub,"(200,)","(1,)",1,200,1.0,200.0,75.0,200.0,vector,elementwise
11,scalar_only,fd.potential.radius.newton_1,scalar,fp32_scalar_div,div,"(200,)","(1,)",1,200,1.0,200.0,75.0,200.0,vector,elementwise
12,scalar_only,fd.potential.radius.newton_1,scalar,fp32_scalar_sub,sub,"(200,)","(1,)",1,200,1.0,200.0,75.0,200.0,vector,elementwise
13,scalar_only,fd.potential.radius.newton_1,scalar,fp32_scalar_log,log,"(200,)","(1,)",1,200,1.0,200.0,50.0,200.0,vector,unary
14,scalar_only,fd.potential.radius.newton_1,scalar,fp32_scalar_multiply,multiply,"(200,)","(1,)",1,200,1.0,200.0,75.0,200.0,vector,elementwise
15,scalar_only,fd.potential.radius.newton_1,scalar,fp32_scalar_add,add,"(200,)","(1,)",1,200,1.0,200.0,75.0,200.0,vector,elementwise
16,scalar_only,fd.potential.radius.newton_1,scalar,fp32_scalar_sub,sub,"(200,)","(1,)",1,200,1.0,200.0,75.0,200.0,vector,elementwise
17,scalar_only,fd.potential.radius.newton_1,scalar,fp32_scalar_div,div,"(200,)","(1,)",1,200,1.0,200.0,75.0,200.0,vector,elementwise
18,scalar_only,fd.potential.radius.newton_1,scalar,fp32_scalar_sub,sub,"(200,)","(1,)",1,200,1.0,200.0,75.0,200.0,vector,elementwise
19,scalar_only,fd.potential.radius.newton_1,scalar,fp32_scalar_multiply,multiply,"(200,)","(1,)",1,200,1.0,200.0,75.0,200.0,vector,elementwise
