row_id,experiment,section,primitive_kind,primitive_name,logical_operation,shape,chunk_shape,elements_per_invocation,invocations,latency_per_invocation,compute_latency,memory_latency,estimated_latency,fallback_from,notes
1,scalar_vector_only,fd.potential.radius.newton_0,vector,8x_fp32_vector_div,div,"(200,)","(8,)",8,25,5.0,125.0,19.0,125.0,,elementwise
2,scalar_vector_only,fd.potential.radius.newton_0,vector,8x_fp32_vector_sub,sub,"(200,)","(8,)",8,25,1.0,25.0,19.0,25.0,,elementwise
3,scalar_vector_only,fd.potential.radius.newton_0,vector,8x_fp32_vector_log,log,"(200,)","(8,)",8,25,1.0,25.0,13.0,25.0,,unary
4,scalar_vector_only,fd.potential.radius.newton_0,vector,8x_fp32_vector_multiply,multiply,"(200,)","(8,)",8,25,1.0,25.0,19.0,25.0,,elementwise
5,scalar_vector_only,fd.potential.radius.newton_0,vector,8x_fp32_vector_add,add,"(200,)","(8,)",8,25,1.0,25.0,19.0,25.0,,elementwise
6,scalar_vector_only,fd.potential.radius.newton_0,vector,8x_fp32_vector_sub,sub,"(200,)","(8,)",8,25,1.0,25.0,19.0,25.0,,elementwise
7,scalar_vector_only,fd.potential.radius.newton_0,vector,8x_fp32_vector_div,div,"(200,)","(8,)",8,25,5.0,125.0,19.0,125.0,,elementwise
8,scalar_vector_only,fd.potential.radius.newton_0,vector,8x_fp32_vector_sub,sub,"(200,)","(8,)",8,25,1.0,25.0,19.0,25.0,,elementwise
9,scalar_vector_only,fd.potential.radius.newton_0,vector,8x_fp32_vector_multiply,multiply,"(200,)","(8,)",8,25,1.0,25.0,19.0,25.0,,elementwise
10,scalar_vector_only,fd.potential.radius.newton_0,vector,8x_fp32_vector_sub,sub,"(200,)","(8,)",8,25,1.0,25.0,19.0,25.0,,elementwise
11,scalar_vector_only,fd.potential.radius.newton_1,vector,8x_fp32_vector_div,div,"(200,)","(8,)",8,25,5.0,125.0,19.0,125.0,,elementwise
12,scalar_vector_only,fd.potential.radius.newton_1,vector,8x_fp32_vector_sub,sub,"(200,)","(8,)",8,25,1.0,25.0,19.0,25.0,,elementwise
13,scalar_vector_only,fd.potential.radius.newton_1,vector,8x_fp32_vector_log,log,"(200,)","(8,)",8,25,1.0,25.0,13.0,25.0,,unary
14,scalar_vector_only,fd.potential.radius.newton_1,vector,8x_fp32_vector_multiply,multiply,"(200,)","(8,)",8,25,1.0,25.0,19.0,25.0,,elementwise
15,scalar_vector_only,fd.potential.radius.newton_1,vector,8x_fp32_vector_add,add,"(200,)","(8,)",8,25,1.0,25.0,19.0,25.0,,elementwise
16,scalar_vector_only,fd.potential.radius.newton_1,vector,8x_fp32_vector_sub,sub,"(200,)","(8,)",8,25,1.0,25.0,19.0,25.0,,elementwise
17,scalar_vector_only,fd.potential.radius.newton_1,vector,8x_fp32_vector_div,div,"(200,)","(8,)",8,25,5.0,125.0,19.0,125.0,,elementwise
18,scalar_vector_only,fd.potential.radius.newton_1,vector,8x_fp32_vector_sub,sub,"(200,)","(8,)",8,25,1.0,25.0,19.0,25.0,,elementwise
19,scalar_vector_only,fd.potential.radius.newton_1,vector,8x_fp32_vector_multiply,multiply,"(200,)","(8,)",8,25,1.0,25.0,19.0,25.0,,elementwise
20,scalar_vector_only,fd.potential.radius.newton_1,vector,8x_fp32_vector_sub,sub,"(200,)","(8,)",8,25,1.0,25.0,19.0,25.0,,elementwise
21,scalar_vector_only,fd.potential.radius.newton_2,vector,8x_fp32_vector_div,div,"(200,)","(8,)",8,25,5.0,125.0,19.0,125.0,,elementwise
22,scalar_vector_only,fd.potential.radius.newton_2,vector,8x_fp32_vector_sub,sub,"(200,)","(8,)",8,25,1.0,25.0,19.0,25.0,,elementwise
23,scalar_vector_only,fd.potential.radius.newton_2,vector,8x_fp32_vector_log,log,"(200,)","(8,)",8,25,1.0,25.0,13.0,25.0,,unary
24,scalar_vector_only,fd.potential.radius.newton_2,vector,8x_fp32_vector_multiply,multiply,"(200,)","(8,)",8,25,1.0,25.0,19.0,25.0,,elementwise
25,scalar_vector_only,fd.potential.radius.newton_2,vector,8x_fp32_vector_add,add,"(200,)","(8,)",8,25,1.0,25.0,19.0,25.0,,elementwise
26,scalar_vector_only,fd.potential.radius.newton_2,vector,8x_fp32_vector_sub,sub,"(200,)","(8,)",8,25,1.0,25.0,19.0,25.0,,elementwise
27,scalar_vector_only,fd.potential.radius.newton_2,vector,8x_fp32_vector_div,div,"(200,)","(8,)",8,25,5.0,125.0,19.0,125.0,,elementwise
28,scalar_vector_only,fd.potential.radius.newton_2,vector,8x_fp32_vector_sub,sub,"(200,)","(8,)",8,25,1.0,25.0,19.0,25.0,,elementwise
29,scalar_vector_only,fd.potential.radius.newton_2,vector,8x_fp32_vector_multiply,multiply,"(200,)","(8,)",8,25,1.0,25.0,19.0,25.0,,elementwise
30,scalar_vector_only,fd.potential.radius.newton_2,vector,8x_fp32_vector_sub,sub,"(200,)","(8,)",8,25,1.0,25.0,19.0,25.0,,elementwise
31,scalar_vector_only,fd.potential.radius.newton_3,vector,8x_fp32_vector_div,div,"(200,)","(8,)",8,25,5.0,125.0,19.0,125.0,,elementwise
32,scalar_vector_only,fd.potential.radius.newton_3,vector,8x_fp32_vector_sub,sub,"(200,)","(8,)",8,25,1.0,25.0,19.0,25.0,,elementwise
33,scalar_vector_only,fd.potential.radius.newton_3,vector,8x_fp32_vector_log,log,"(200,)","(8,)",8,25,1.0,25.0,13.0,25.0,,unary
34,scalar_vector_only,fd.potential.radius.newton_3,vector,8x_fp32_vector_multiply,multiply,"(200,)","(8,)",8,25,1.0,25.0,19.0,25.0,,elementwise
35,scalar_vector_only,fd.potential.radius.newton_3,vector,8x_fp32_vector_add,add,"(200,)","(8,)",8,25,1.0,25.0,19.0,25.0,,elementwise
36,scalar_vector_only,fd.potential.radius.newton_3,vector,8x_fp32_vector_sub,sub,"(200,)","(8,)",8,25,1.0,25.0,19.0,25.0,,elementwise
37,scalar_vector_only,fd.potential.radius.newton_3,vector,8x_fp32_vector_div,div,"(200,)","(8,)",8,25,5.0,125.0,19.0,125.0,,elementwise
38,scalar_vector_only,fd.potential.radius.newton_3,vector,8x_fp32_vector_sub,sub,"(200,)","(8,)",8,25,1.0,25.0,19.0,25.0,,elementwise
39,scalar_vector_only,fd.potential.radius.newton_3,vector,8x_fp32_vector_multiply,multiply,"(200,)","(8,)",8,25,1.0,25.0,19.0,25.0,,elementwise
40,scalar_vector_only,fd.potential.radius.newton_3,vector,8x_fp32_vector_sub,sub,"(200,)","(8,)",8,25,1.0,25.0,19.0,25.0,,elementwise
41,scalar_vector_only,fd.potential.radius.newton_4,vector,8x_fp32_vector_div,div,"(200,)","(8,)",8,25,5.0,125.0,19.0,125.0,,elementwise
42,scalar_vector_only,fd.potential.radius.newton_4,vector,8x_fp32_vector_sub,sub,"(200,)","(8,)",8,25,1.0,25.0,19.0,25.0,,elementwise
43,scalar_vector_only,fd.potential.radius.newton_4,vector,8x_fp32_vector_log,log,"(200,)","(8,)",8,25,1.0,25.0,13.0,25.0,,unary
44,scalar_vector_only,fd.potential.radius.newton_4,vector,8x_fp32_vector_multiply,multiply,"(200,)","(8,)",8,25,1.0,25.0,19.0,25.0,,elementwise
45,scalar_vector_only,fd.potential.radius.newton_4,vector,8x_fp32_vector_add,add,"(200,)","(8,)",8,25,1.0,25.0,19.0,25.0,,elementwise
46,scalar_vector_only,fd.potential.radius.newton_4,vector,8x_fp32_vector_sub,sub,"(200,)","(8,)",8,25,1.0,25.0,19.0,25.0,,elementwise
47,scalar_vector_only,fd.potential.radius.newton_4,vector,8x_fp32_vector_div,div,"(200,)","(8,)",8,25,5.0,125.0,19.0,125.0,,elementwise
48,scalar_vector_only,fd.potential.radius.newton_4,vector,8x_fp32_vector_sub,sub,"(200,)","(8,)",8,25,1.0,25.0,19.0,25.0,,elementwise
49,scalar_vector_only,fd.potential.radius.newton_4,vector,8x_fp32_vector_multiply,multiply,"(200,)","(8,)",8,25,1.0,25.0,19.0,25.0,,elementwise
50,scalar_vector_only,fd.potential.radius.newton_4,vector,8x_fp32_vector_sub,sub,"(200,)","(8,)",8,25,1.0,25.0,19.0,25.0,,elementwise
51,scalar_vector_only,fd.potential.radius.newton_5,vector,8x_fp32_vector_div,div,"(200,)","(8,)",8,25,5.0,125.0,19.0,125.0,,elementwise
52,scalar_vector_only,fd.potential.radius.newton_5,vector,8x_fp32_vector_sub,sub,"(200,)","(8,)",8,25,1.0,25.0,19.0,25.0,,elementwise
53,scalar_vector_only,fd.potential.radius.newton_5,vector,8x_fp32_vector_log,log,"(200,)","(8,)",8,25,1.0,25.0,13.0,25.0,,unary
54,scalar_vector_only,fd.potential.radius.newton_5,vector,8x_fp32_vector_multiply,multiply,"(200,)","(8,)",8,25,1.0,25.0,19.0,25.0,,elementwise
55,scalar_vector_only,fd.potential.radius.newton_5,vector,8x_fp32_vector_add,add,"(200,)","(8,)",8,25,1.0,25.0,19.0,25.0,,elementwise
56,scalar_vector_only,fd.potential.radius.newton_5,vector,8x_fp32_vector_sub,sub,"(200,)","(8,)",8,25,1.0,25.0,19.0,25.0,,elementwise
