max_lanes,tpu_size,l1_bandwidth_bits,scalar_only_latency,scalar_vector_only_latency,scalar_matrix_only_latency,all_primitives_latency,speedup_all_primitives_vs_scalar,speedup_vector_vs_scalar,speedup_matrix_vs_scalar
16,256,1024,2088333908418.0,220830656768.0,19231179404.0,2282675328.0,914.8624347938805,9.45672099599812,108.59104709842372
16,128,1024,2088333908418.0,220830656768.0,19239163404.0,2290659328.0,911.6737189555582,9.45672099599812,108.54598324082096
16,64,1024,2088333908418.0,220830656768.0,19456644346.0,2508140270.0,832.6224547313695,9.45672099599812,107.33268652501893
8,256,1024,2088333908418.0,383994680526.0,19231179404.0,3292210212.0,634.3258096965043,5.438444890844264,108.59104709842372
8,128,1024,2088333908418.0,383994680526.0,19239163404.0,3300194212.0,632.7912159910181,5.438444890844264,108.54598324082096
8,64,1024,2088333908418.0,383994680526.0,19456644346.0,3517675154.0,593.6687775286257,5.438444890844264,107.33268652501893
16,256,512,2088333908418.0,384560828986.0,19977748392.0,4412159660.0,473.31331351186867,5.430438440452878,104.53299678427545
16,128,512,2088333908418.0,384560828986.0,19978516392.0,4412927660.0,473.23094084392943,5.430438440452878,104.52897840073008
16,64,512,2088333908418.0,384560828986.0,20011980392.0,4446391660.0,469.6693562118637,5.430438440452878,104.35418521861202
8,256,512,2088333908418.0,449524321848.0,19977748392.0,4552410572.0,458.73145125847844,4.64565276431058,104.53299678427545
8,128,512,2088333908418.0,449524321848.0,19978516392.0,4553178572.0,458.65407547604525,4.64565276431058,104.52897840073008
8,64,512,2088333908418.0,449524321848.0,20011980392.0,4586642572.0,455.3077497615831,4.64565276431058,104.35418521861202
16,32,1024,2088333908418.0,220830656768.0,21854641008.0,4906136932.0,425.6574851788095,9.45672099599812,95.55562626965846
4,256,1024,2088333908418.0,775952881451.0,19231179404.0,5826351437.0,358.4291011277012,2.6913153599132222,108.59104709842372
4,128,1024,2088333908418.0,775952881451.0,19239163404.0,5834335437.0,357.93860859872257,2.6913153599132222,108.54598324082096
8,32,1024,2088333908418.0,383994680526.0,21854641008.0,5915671816.0,353.0172013210274,5.438444890844264,95.55562626965846
4,64,1024,2088333908418.0,775952881451.0,19456644346.0,6051816379.0,345.0755570946578,2.6913153599132222,107.33268652501893
16,32,512,2088333908418.0,384560828986.0,21866133008.0,6300544276.000001,331.4529375458673,5.430438440452878,95.50540590116948
8,32,512,2088333908418.0,449524321848.0,21866133008.0,6440795188.0,324.23541619656294,4.64565276431058,95.50540590116948
4,256,512,2088333908418.0,775952881451.0,19977748392.0,6572920425.0,317.7178139073546,2.6913153599132222,104.53299678427545
4,128,512,2088333908418.0,775952881451.0,19978516392.0,6573688425.0,317.6806951293862,2.6913153599132222,104.52897840073008
4,64,512,2088333908418.0,775952881451.0,20011980392.0,6607152425.0,316.07170140591995,2.6913153599132222,104.35418521861202
4,32,1024,2088333908418.0,775952881451.0,21854641008.0,8449813041.0,247.1455756813827,2.6913153599132222,95.55562626965846
4,32,512,2088333908418.0,775952881451.0,21866133008.0,8461305041.0,246.80990678137638,2.6913153599132222,95.50540590116948
16,256,256,2088333908418.0,712098525939.0,21475590366.0,8703648837.0,239.93774881407248,2.932647424967274,97.24221187065643
16,128,256,2088333908418.0,712098525939.0,21476358366.0,8704416837.0,239.91657885007146,2.932647424967274,97.23873446459699
16,64,256,2088333908418.0,712098525939.0,21477830366.0,8705888837.0,239.8760135257629,2.932647424967274,97.2320701314361
8,256,256,2088333908418.0,777034268651.0,21475590366.0,8816149599.0,236.87596098129686,2.6875698957827585,97.24221187065643
8,128,256,2088333908418.0,777034268651.0,21476358366.0,8816917599.0,236.85532783643745,2.6875698957827585,97.23873446459699
8,64,256,2088333908418.0,777034268651.0,21477830366.0,8818389599.0,236.81579102093832,2.6875698957827585,97.2320701314361
4,256,256,2088333908418.0,907011540451.0,21475590366.0,9097401499.0,229.5527913819735,2.302433668462038,97.24221187065643
4,128,256,2088333908418.0,907011540451.0,21476358366.0,9098169499.0,229.53341423761486,2.302433668462038,97.23873446459699
4,64,256,2088333908418.0,907011540451.0,21477830366.0,9099641499.0,229.49628385332502,2.302433668462038,97.2320701314361
16,32,256,2088333908418.0,712098525939.0,22297414366.0,9525472837.0,219.2367711454952,2.932647424967274,93.65811991198298
8,32,256,2088333908418.0,777034268651.0,22297414366.0,9637973599.0,216.67769546854515,2.6875698957827585,93.65811991198298
4,32,256,2088333908418.0,907011540451.0,22297414366.0,9919225499.0,210.53396846644267,2.302433668462038,93.65811991198298
2,256,1024,2088333908418.0,1559869279711.0,19231179404.0,10894630297.0,191.68469709275533,1.338787766116472,108.59104709842372
2,128,1024,2088333908418.0,1559869279711.0,19239163404.0,10902614297.0,191.54432611567603,1.338787766116472,108.54598324082096
2,64,1024,2088333908418.0,1559869279711.0,19456644346.0,11120095239.0,187.79820348065635,1.338787766116472,107.33268652501893
2,256,512,2088333908418.0,1559869279711.0,19977748392.0,11641199285.0,179.39164662431943,1.338787766116472,104.53299678427545
