experiment,label,node_id,sub_id,name,operator_type,chosen_core,core_class,runtime_cycles,onchip_energy_pj,offchip_energy_pj
scalar_only,Scalar,0,0,fd_potential_warmstart_3,add,0,scalar,72.0,18.0,4.5
scalar_only,Scalar,1,0,fd_potential_newton_0_scale_6,mul,0,scalar,72.0,18.0,4.5
scalar_only,Scalar,2,0,fd_potential_newton_0_shift_9,add,0,scalar,72.0,18.0,4.5
scalar_only,Scalar,3,0,fd_potential_newton_0_log_sq_12,pow,0,scalar,120.0,30.0,7.5
scalar_only,Scalar,4,0,fd_potential_newton_0_log_cu_14,mul,0,scalar,72.0,18.0,4.5
scalar_only,Scalar,5,0,fd_potential_newton_0_log_qu_16,mul,0,scalar,72.0,18.0,4.5
scalar_only,Scalar,6,0,fd_potential_newton_0_log_term2_19,mul,0,scalar,72.0,18.0,4.5
scalar_only,Scalar,7,0,fd_potential_newton_0_log_term3_22,mul,0,scalar,72.0,18.0,4.5
scalar_only,Scalar,8,0,fd_potential_newton_0_log_term4_25,mul,0,scalar,72.0,18.0,4.5
scalar_only,Scalar,9,0,fd_potential_newton_0_log_acc1_27,add,0,scalar,72.0,18.0,4.5
scalar_only,Scalar,10,0,fd_potential_newton_0_log_acc2_29,add,0,scalar,72.0,18.0,4.5
scalar_only,Scalar,11,0,fd_potential_newton_0_log_acc3_31,add,0,scalar,72.0,18.0,4.5
scalar_only,Scalar,12,0,fd_potential_newton_0_logscale_34,mul,0,scalar,72.0,18.0,4.5
scalar_only,Scalar,13,0,fd_potential_newton_0_sum_36,add,0,scalar,72.0,18.0,4.5
scalar_only,Scalar,14,0,fd_potential_newton_0_resneg_39,mul,0,scalar,72.0,18.0,4.5
scalar_only,Scalar,15,0,fd_potential_newton_0_res_41,add,0,scalar,72.0,18.0,4.5
scalar_only,Scalar,16,0,fd_potential_newton_0_inv_r_43,reciprocal,0,scalar,96.0,24.0,6.0
scalar_only,Scalar,17,0,fd_potential_newton_0_slopecorr_46,mul,0,scalar,72.0,18.0,4.5
scalar_only,Scalar,18,0,fd_potential_newton_0_slope_49,add,0,scalar,72.0,18.0,4.5
scalar_only,Scalar,19,0,fd_potential_newton_0_inv_slope_51,reciprocal,0,scalar,96.0,24.0,6.0
scalar_only,Scalar,20,0,fd_potential_newton_0_correction_53,mul,0,scalar,72.0,18.0,4.5
scalar_only,Scalar,21,0,fd_potential_newton_0_corrneg_56,mul,0,scalar,72.0,18.0,4.5
scalar_only,Scalar,22,0,fd_potential_newton_0_update_58,add,0,scalar,72.0,18.0,4.5
scalar_only,Scalar,23,0,fd_potential_newton_1_scale_61,mul,0,scalar,72.0,18.0,4.5
scalar_only,Scalar,24,0,fd_potential_newton_1_shift_64,add,0,scalar,72.0,18.0,4.5
scalar_only,Scalar,25,0,fd_potential_newton_1_log_sq_67,pow,0,scalar,120.0,30.0,7.5
scalar_only,Scalar,26,0,fd_potential_newton_1_log_cu_69,mul,0,scalar,72.0,18.0,4.5
scalar_only,Scalar,27,0,fd_potential_newton_1_log_qu_71,mul,0,scalar,72.0,18.0,4.5
scalar_only,Scalar,28,0,fd_potential_newton_1_log_term2_74,mul,0,scalar,72.0,18.0,4.5
scalar_only,Scalar,29,0,fd_potential_newton_1_log_term3_77,mul,0,scalar,72.0,18.0,4.5
scalar_only,Scalar,30,0,fd_potential_newton_1_log_term4_80,mul,0,scalar,72.0,18.0,4.5
