experiment,label,operator_type,core_class,runtime_cycles,onchip_energy_pj,offchip_energy_pj
scalar_only,Scalar,mul,scalar,12240.0,3060.0,765.0
scalar_only,Scalar,add,scalar,8928.0,2232.0,558.0
scalar_only,Scalar,matmul,scalar,7920.0,1980.0,495.0
scalar_only,Scalar,pow,scalar,2880.0,720.0,180.0
scalar_only,Scalar,reciprocal,scalar,2592.0,648.0,162.0
scalar_only,Scalar,exp,scalar,288.0,72.0,18.0
scalar_only,Scalar,sigmoid,scalar,288.0,72.0,18.0
scalar_only,Scalar,reducemean,scalar,168.0,42.0,10.5
scalar_tpu,Scalar+TPU,mul,scalar,12240.0,3060.0,765.0
scalar_tpu,Scalar+TPU,add,scalar,8928.0,2232.0,558.0
scalar_tpu,Scalar+TPU,pow,scalar,2880.0,720.0,180.0
scalar_tpu,Scalar+TPU,reciprocal,scalar,2592.0,648.0,162.0
scalar_tpu,Scalar+TPU,matmul,matrix,1320.0,5280.0,1320.0
scalar_tpu,Scalar+TPU,exp,scalar,288.0,72.0,18.0
scalar_tpu,Scalar+TPU,sigmoid,scalar,288.0,72.0,18.0
scalar_tpu,Scalar+TPU,reducemean,scalar,168.0,42.0,10.5
vector_only,Vector,mul,vector,4080.0,4080.0,1020.0
vector_only,Vector,add,vector,2976.0,2976.0,744.0
vector_only,Vector,matmul,vector,2640.0,2640.0,660.0
vector_only,Vector,pow,vector,960.0,960.0,240.0
vector_only,Vector,reciprocal,vector,864.0,864.0,216.0
vector_only,Vector,exp,vector,96.0,96.0,24.0
vector_only,Vector,sigmoid,vector,96.0,96.0,24.0
vector_only,Vector,reducemean,vector,56.0,56.0,14.0
vector_tpu,Vector+TPU,mul,vector,4080.0,4080.0,1020.0
vector_tpu,Vector+TPU,add,vector,2976.0,2976.0,744.0
vector_tpu,Vector+TPU,matmul,matrix,1320.0,5280.0,1320.0
vector_tpu,Vector+TPU,pow,vector,960.0,960.0,240.0
vector_tpu,Vector+TPU,reciprocal,vector,864.0,864.0,216.0
vector_tpu,Vector+TPU,exp,vector,96.0,96.0,24.0
vector_tpu,Vector+TPU,sigmoid,vector,96.0,96.0,24.0
vector_tpu,Vector+TPU,reducemean,vector,56.0,56.0,14.0
